large_patch,outer_row,outer_col,inner_row,inner_col,global_row,global_col,x0,y0,x1,y1,file
1,1,1,1,1,1,1,0,0,71,71,large_patch_01/small_patch_r1_c1.png
1,1,1,1,2,1,2,71,0,142,71,large_patch_01/small_patch_r1_c2.png
1,1,1,1,3,1,3,142,0,213,71,large_patch_01/small_patch_r1_c3.png
1,1,1,2,1,2,1,0,71,71,142,large_patch_01/small_patch_r2_c1.png
1,1,1,2,2,2,2,71,71,142,142,large_patch_01/small_patch_r2_c2.png
1,1,1,2,3,2,3,142,71,213,142,large_patch_01/small_patch_r2_c3.png
1,1,1,3,1,3,1,0,142,71,213,large_patch_01/small_patch_r3_c1.png
1,1,1,3,2,3,2,71,142,142,213,large_patch_01/small_patch_r3_c2.png
1,1,1,3,3,3,3,142,142,213,213,large_patch_01/small_patch_r3_c3.png
2,1,2,1,1,1,4,213,0,284,71,large_patch_02/small_patch_r1_c1.png
2,1,2,1,2,1,5,284,0,356,71,large_patch_02/small_patch_r1_c2.png
2,1,2,1,3,1,6,356,0,427,71,large_patch_02/small_patch_r1_c3.png
2,1,2,2,1,2,4,213,71,284,142,large_patch_02/small_patch_r2_c1.png
2,1,2,2,2,2,5,284,71,356,142,large_patch_02/small_patch_r2_c2.png
2,1,2,2,3,2,6,356,71,427,142,large_patch_02/small_patch_r2_c3.png
2,1,2,3,1,3,4,213,142,284,213,large_patch_02/small_patch_r3_c1.png
2,1,2,3,2,3,5,284,142,356,213,large_patch_02/small_patch_r3_c2.png
2,1,2,3,3,3,6,356,142,427,213,large_patch_02/small_patch_r3_c3.png
3,1,3,1,1,1,7,427,0,498,71,large_patch_03/small_patch_r1_c1.png
3,1,3,1,2,1,8,498,0,569,71,large_patch_03/small_patch_r1_c2.png
3,1,3,1,3,1,9,569,0,640,71,large_patch_03/small_patch_r1_c3.png
3,1,3,2,1,2,7,427,71,498,142,large_patch_03/small_patch_r2_c1.png
3,1,3,2,2,2,8,498,71,569,142,large_patch_03/small_patch_r2_c2.png
3,1,3,2,3,2,9,569,71,640,142,large_patch_03/small_patch_r2_c3.png
3,1,3,3,1,3,7,427,142,498,213,large_patch_03/small_patch_r3_c1.png
3,1,3,3,2,3,8,498,142,569,213,large_patch_03/small_patch_r3_c2.png
3,1,3,3,3,3,9,569,142,640,213,large_patch_03/small_patch_r3_c3.png
4,2,1,1,1,4,1,0,213,71,284,large_patch_04/small_patch_r1_c1.png
4,2,1,1,2,4,2,71,213,142,284,large_patch_04/small_patch_r1_c2.png
4,2,1,1,3,4,3,142,213,213,284,large_patch_04/small_patch_r1_c3.png
4,2,1,2,1,5,1,0,284,71,355,large_patch_04/small_patch_r2_c1.png
4,2,1,2,2,5,2,71,284,142,355,large_patch_04/small_patch_r2_c2.png
4,2,1,2,3,5,3,142,284,213,355,large_patch_04/small_patch_r2_c3.png
4,2,1,3,1,6,1,0,355,71,426,large_patch_04/small_patch_r3_c1.png
4,2,1,3,2,6,2,71,355,142,426,large_patch_04/small_patch_r3_c2.png
4,2,1,3,3,6,3,142,355,213,426,large_patch_04/small_patch_r3_c3.png
5,2,2,1,1,4,4,213,213,284,284,large_patch_05/small_patch_r1_c1.png
5,2,2,1,2,4,5,284,213,356,284,large_patch_05/small_patch_r1_c2.png
5,2,2,1,3,4,6,356,213,427,284,large_patch_05/small_patch_r1_c3.png
5,2,2,2,1,5,4,213,284,284,355,large_patch_05/small_patch_r2_c1.png
5,2,2,2,2,5,5,284,284,356,355,large_patch_05/small_patch_r2_c2.png
5,2,2,2,3,5,6,356,284,427,355,large_patch_05/small_patch_r2_c3.png
5,2,2,3,1,6,4,213,355,284,426,large_patch_05/small_patch_r3_c1.png
5,2,2,3,2,6,5,284,355,356,426,large_patch_05/small_patch_r3_c2.png
5,2,2,3,3,6,6,356,355,427,426,large_patch_05/small_patch_r3_c3.png
6,2,3,1,1,4,7,427,213,498,284,large_patch_06/small_patch_r1_c1.png
6,2,3,1,2,4,8,498,213,569,284,large_patch_06/small_patch_r1_c2.png
6,2,3,1,3,4,9,569,213,640,284,large_patch_06/small_patch_r1_c3.png
6,2,3,2,1,5,7,427,284,498,355,large_patch_06/small_patch_r2_c1.png
6,2,3,2,2,5,8,498,284,569,355,large_patch_06/small_patch_r2_c2.png
6,2,3,2,3,5,9,569,284,640,355,large_patch_06/small_patch_r2_c3.png
6,2,3,3,1,6,7,427,355,498,426,large_patch_06/small_patch_r3_c1.png
6,2,3,3,2,6,8,498,355,569,426,large_patch_06/small_patch_r3_c2.png
6,2,3,3,3,6,9,569,355,640,426,large_patch_06/small_patch_r3_c3.png
