row,col,x0,y0,x1,y1,width,height,file
1,1,0,0,71,71,71,71,patch_r01_c01.png
1,2,71,0,142,71,71,71,patch_r01_c02.png
1,3,142,0,213,71,71,71,patch_r01_c03.png
1,4,213,0,284,71,71,71,patch_r01_c04.png
1,5,284,0,356,71,72,71,patch_r01_c05.png
1,6,356,0,427,71,71,71,patch_r01_c06.png
1,7,427,0,498,71,71,71,patch_r01_c07.png
1,8,498,0,569,71,71,71,patch_r01_c08.png
1,9,569,0,640,71,71,71,patch_r01_c09.png
2,1,0,71,71,142,71,71,patch_r02_c01.png
2,2,71,71,142,142,71,71,patch_r02_c02.png
2,3,142,71,213,142,71,71,patch_r02_c03.png
2,4,213,71,284,142,71,71,patch_r02_c04.png
2,5,284,71,356,142,72,71,patch_r02_c05.png
2,6,356,71,427,142,71,71,patch_r02_c06.png
2,7,427,71,498,142,71,71,patch_r02_c07.png
2,8,498,71,569,142,71,71,patch_r02_c08.png
2,9,569,71,640,142,71,71,patch_r02_c09.png
3,1,0,142,71,213,71,71,patch_r03_c01.png
3,2,71,142,142,213,71,71,patch_r03_c02.png
3,3,142,142,213,213,71,71,patch_r03_c03.png
3,4,213,142,284,213,71,71,patch_r03_c04.png
3,5,284,142,356,213,72,71,patch_r03_c05.png
3,6,356,142,427,213,71,71,patch_r03_c06.png
3,7,427,142,498,213,71,71,patch_r03_c07.png
3,8,498,142,569,213,71,71,patch_r03_c08.png
3,9,569,142,640,213,71,71,patch_r03_c09.png
4,1,0,213,71,284,71,71,patch_r04_c01.png
4,2,71,213,142,284,71,71,patch_r04_c02.png
4,3,142,213,213,284,71,71,patch_r04_c03.png
4,4,213,213,284,284,71,71,patch_r04_c04.png
4,5,284,213,356,284,72,71,patch_r04_c05.png
4,6,356,213,427,284,71,71,patch_r04_c06.png
4,7,427,213,498,284,71,71,patch_r04_c07.png
4,8,498,213,569,284,71,71,patch_r04_c08.png
4,9,569,213,640,284,71,71,patch_r04_c09.png
5,1,0,284,71,355,71,71,patch_r05_c01.png
5,2,71,284,142,355,71,71,patch_r05_c02.png
5,3,142,284,213,355,71,71,patch_r05_c03.png
5,4,213,284,284,355,71,71,patch_r05_c04.png
5,5,284,284,356,355,72,71,patch_r05_c05.png
5,6,356,284,427,355,71,71,patch_r05_c06.png
5,7,427,284,498,355,71,71,patch_r05_c07.png
5,8,498,284,569,355,71,71,patch_r05_c08.png
5,9,569,284,640,355,71,71,patch_r05_c09.png
6,1,0,355,71,426,71,71,patch_r06_c01.png
6,2,71,355,142,426,71,71,patch_r06_c02.png
6,3,142,355,213,426,71,71,patch_r06_c03.png
6,4,213,355,284,426,71,71,patch_r06_c04.png
6,5,284,355,356,426,72,71,patch_r06_c05.png
6,6,356,355,427,426,71,71,patch_r06_c06.png
6,7,427,355,498,426,71,71,patch_r06_c07.png
6,8,498,355,569,426,71,71,patch_r06_c08.png
6,9,569,355,640,426,71,71,patch_r06_c09.png
