# 均匀空间位置删除（stage0_prune.uniform_compress）性能保持曲线。
# 真实数据：lmms_eval（llava_lmms_eval.sh，STAGE0_METHOD=uniform）在
# llava-v1.5-7b 上跑 gqa / mmbench_en_dev_static / textvqa_val 三个任务，
# 10 档 STAGE0_K（576/518/461/403/346/288/230/173/115/58）各跑一次全量
# 测试集所得（无 --limit）。gqa、textvqa 用 exact_match；mmbench 用本地
# static 规则评分（不依赖 GPT API）。
# 列：task,topk_pct,k,ratio,score,baseline,perf_ratio,placeholder
#   task       gqa | mmbench | textvqa
#   topk_pct   保留的 token 百分比（10/20/.../100），对应 STAGE0_K=k 的均匀采样
#   k          保留 token 数（576 * topk_pct/100 四舍五入）
#   score      该 benchmark 的原始指标（Accuracy，百分制）
#   baseline   topk_pct=100 时的原始指标（未剪枝）
#   perf_ratio score / baseline * 100，即图中纵轴 Performance Ratio(%)
task,topk_pct,k,ratio,score,baseline,perf_ratio,placeholder
gqa,100,576,1.0,61.93,61.93,100.0,0
gqa,90,518,0.8993,61.71,61.93,99.6,0
gqa,80,461,0.8003,61.73,61.93,99.7,0
gqa,70,403,0.6997,60.96,61.93,98.4,0
gqa,60,346,0.6007,60.78,61.93,98.1,0
gqa,50,288,0.5,60.34,61.93,97.4,0
gqa,40,230,0.3993,60.00,61.93,96.9,0
gqa,30,173,0.3003,58.97,61.93,95.2,0
gqa,20,115,0.1997,57.51,61.93,92.9,0
gqa,10,58,0.1007,55.80,61.93,90.1,0
mmbench,100,576,1.0,64.09,64.09,100.0,0
mmbench,90,518,0.8993,65.21,64.09,101.7,0
mmbench,80,461,0.8003,64.52,64.09,100.7,0
mmbench,70,403,0.6997,65.03,64.09,101.5,0
mmbench,60,346,0.6007,64.35,64.09,100.4,0
mmbench,50,288,0.5,63.32,64.09,98.8,0
mmbench,40,230,0.3993,63.92,64.09,99.7,0
mmbench,30,173,0.3003,61.51,64.09,96.0,0
mmbench,20,115,0.1997,59.62,64.09,93.0,0
mmbench,10,58,0.1007,57.65,64.09,90.0,0
textvqa,100,576,1.0,58.24,58.24,100.0,0
textvqa,90,518,0.8993,57.72,58.24,99.1,0
textvqa,80,461,0.8003,56.98,58.24,97.8,0
textvqa,70,403,0.6997,56.61,58.24,97.2,0
textvqa,60,346,0.6007,56.34,58.24,96.7,0
textvqa,50,288,0.5,55.60,58.24,95.5,0
textvqa,40,230,0.3993,54.19,58.24,93.0,0
textvqa,30,173,0.3003,52.55,58.24,90.2,0
textvqa,20,115,0.1997,50.76,58.24,87.2,0
textvqa,10,58,0.1007,48.51,58.24,83.3,0
